"","uuid","institutionCode","collectionCode","catalogNumber","recordedBy","countryCode","stateProvince","county","decimalLatitude","decimalLongitude","eventDate","year","month","day","genus","specificEpithet","scientificName","weight","length","sex","latDMS","lonDMS","textLatDD"
"1","060380ea-7b06-474e-8d2e-b6e4a8c21e1a","mvz","mammal specimens",219088,"collector(s): ana lilia trujano álvarez, eric ghilarducci","usa","california","contra costa county",37.7609527778,-121.8865638889,"2005-11-22T19:00:00.000-05:00",2005,11,22,"microtus","californicus","microtus californicus californicus",30.5,165,"male","37°45'39.430""N","-122° 6'48.370""E","37.7609527778"
"2","0fb17a79-a8ce-45b6-b57a-2f640e8cccb6","mvz","mammal specimens",233524,"collector(s): william z. lidicker jr.","usa","california","contra costa county",37.8999569,-122.3616559,"1959-06-20T20:00:00.000-04:00",1959,6,20,"microtus","californicus","microtus californicus californicus",22,143,"female","37°53'59.845""N","-123°38'18.039""E","37.8999569"
"3","1a69c8ad-0ac3-4612-9dc0-6867e8b9a218","mvz","mammal specimens",234346,"collector(s): william z. lidicker jr.","usa","california","contra costa county",37.8999569,-122.3616559,"1962-11-21T19:00:00.000-05:00",1962,11,21,"microtus","californicus","microtus californicus californicus",49,187,"male","37°53'59.845""N","-123°38'18.039""E","37.8999569"
"4","1a9932b4-beab-4472-bec1-a7e68c4b9e6e","mvz","mammal specimens",233951,"collector(s): william z. lidicker jr.","usa","california","contra costa county",37.8999569,-122.3616559,"1960-07-30T20:00:00.000-04:00",1960,7,30,"microtus","californicus","microtus californicus californicus",33,169,"female","37°53'59.845""N","-123°38'18.039""E","37.8999569"
"5","1f3b8aea-fbae-46d1-91c8-274924b40c9f","mvz","mammal specimens",235290,"collector(s): william z. lidicker jr.","usa","california","contra costa county",37.8999569,-122.3616559,"1964-07-03T20:00:00.000-04:00",1964,7,3,"microtus","californicus","microtus californicus californicus",29,159,"female","37°53'59.845""N","-123°38'18.039""E","37.8999569"
"6","203f0531-9b46-403f-ac09-3acab5be977c","uam","mammal specimens",85106,"collector(s): tom manning; preparator(s): amber baxter","usa","oregon","douglas county",43.2751187,-122.7911046,"1996-10-22T20:00:00.000-04:00",1996,10,22,"myodes","californicus","myodes californicus",23.5,141,"female","43°16'30.427""N","-123°12'32.023""E","43.2751187"
"7","21ceb6f0-3905-4e9a-92ae-8a1cd2af4a3a","omnh","mammals",50048,caldwell, j. p. and vitt, l. j.,"usa","oklahoma","le flore",34.53903,-94.88821,"2011-01-17T19:00:00.000-05:00",2011,1,17,"microtus","pinetorum","microtus pinetorum",24,121,"","34°32'20.508""N"," -95° 6'42.444""E","34.53903"
"8","23d3f0d9-0075-472a-96c4-5d9f01c78d0f","mvz","mammal specimens",216309,"collector(s): james l. patton","usa","california","inyo county",36.97099,-118.09535,"2005-08-06T20:00:00.000-04:00",2005,8,6,"tamias","minimus","tamias minimus scrutator",27,176,"female","36°58'15.564""N","-119°54'16.740""E","36.97099"
"9","244bbe9f-81aa-42b9-bc92-ffef2b530fc4","msb","mammal specimens",294933,"collector(s): troy l. best; preparator(s): troy l. best","usa","new mexico","san juan county",36.584948,-107.984512,"1989-06-04T20:00:00.000-04:00",1989,6,4,"dipodomys","spectabilis","dipodomys spectabilis",125,294,"female","36°35' 5.813""N","-108° 0'55.757""E","36.584948"
